,Semana 1,,
Semana,Juego ,MH,Torneo
5,TH VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892114?gameHash=cc14b800140636d2&tab=overview,Leviathan Masters
5,DEL VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892151?gameHash=b5d6e5f4cfca31cf&tab=overview,Leviathan Masters
5,FTA VS GOAT,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892168?gameHash=4ba67f77cd5fc2d2&tab=overview,Leviathan Masters
5,JV VS PG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1892181?gameHash=f3bc9a2297a8efbf&tab=overview,Leviathan Masters
5,BAN VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893555?gameHash=7f407e445af81dfc&tab=overview,Kraken Masters
5,HIPO VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893597?gameHash=323af1c0b0f641d7&tab=overview,Kraken Masters
5,FGO VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893638?gameHash=9e0fbe55886d76f1&tab=overview,Kraken Masters
5,3SG VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1893654?gameHash=5d4d20419100be2d&tab=overview,Kraken Masters
6,GOAT VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886302?gameHash=4bdae61d9a0e8519&tab=overview,Leviathan Masters
6,SAP VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886319?gameHash=18a32780f4784f5f&tab=overview,Leviathan Masters
6,JV VS FTA,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886334?gameHash=00edf962005ee0e7&tab=overview,Leviathan Masters
6,PG VS DEL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1886357?gameHash=802a73e4527e8071&tab=overview,Leviathan Masters
6,VDL VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1896627?gameHash=7a3fd2dbc99e6525&tab=stats,Kraken Masters
6,RR VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1896640?gameHash=5659c345c288477d&tab=overview,Kraken Masters
6,QE VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1896655?gameHash=1116560e02a16547&tab=overview,Kraken Masters
6,HIPO VS FGO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT01/1896659?gameHash=d7f006407b3806e9&tab=overview,Kraken Masters
7,PG VS TH,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1723187?gameHash=5b6c15efe086b2ab&tab=stats,Mixto
7,DEL VS JV,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1723233?gameHash=b2c11c3147343c96&tab=overview,Mixto
7,GOAT VS SAP,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1723255?gameHash=6dff1c50095212a1&tab=overview,Mixto
7,FTA VS VL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1723268?gameHash=8c244e4600248895&tab=overview,Mixto
7,STK VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1724190?gameHash=068b154552ad6431&tab=overview,Mixto
7,BAN VS HIPO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1724217?gameHash=6f88c2bd64fb0652&tab=stats,Mixto
7,3SG VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1724232?gameHash=ecdfec9bad16ee30&tab=overview,Mixto
7,FGO VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1724253?gameHash=8641a6bad2ebca6f&tab=overview,Mixto
8,FTA VS FGO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726095?gameHash=de4c759b0cf6d849&tab=overview,Mixto
8,GOAT VS VDL,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726117?gameHash=f58c4c81e7b92111&tab=overview,Mixto
8,TH VS 3SG,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726121?gameHash=e84911265ca5898e&tab=overview,Mixto
8,DEL VS RR,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726130?gameHash=62582a232ab4f96f&tab=overview,Mixto
8,PG VS STK,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726549?gameHash=2f643695a549e671&tab=overview,Mixto
8,VL VS HIPO,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726584?gameHash=efc00ca62058d8f9&tab=stats,Mixto
8,JV VS QE,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726587?gameHash=6b35585d75a4b4d5&tab=overview,Mixto
8,SAP VS BAN,https://matchhistory.na.leagueoflegends.com/en/#match-details/ESPORTSTMNT02/1726624?gameHash=a811e48b91760e8d&tab=overview,Mixto
